Evento,KE,px,py,pz,x,y,z
1132,0.029789,-0.302328,-0.249017,0.920103,-230.884,160.202,477,
1133,0.0853539,-0.22617,0.466482,-0.855127,-296.389,477,-35.0472,
1134,2.90663e+06,0.809882,0.0232183,0.586133,165.577,60.6993,477,
1141,4.94938e+06,0.515355,0.557828,-0.650567,347.64,477,-460.302,
1146,5.27996e+06,-0.298142,-0.810137,0.504767,-174.386,-477,296.167,
1147,0.0659915,-0.673323,-0.728923,-0.123721,-187.874,-477,321.078,
1150,1.27775e+06,-0.380243,-0.275004,-0.883056,3.78109,112.481,-477,
1151,136942,0.626425,-0.216487,-0.748816,477,187.699,-290.5,
1154,43.324,0.10877,0.0857268,0.990364,464.686,477,-78.2333,
1155,0.0801026,-0.293709,0.955588,-0.0242437,-477,279.475,-203.711,
1157,3.0458,-0.946802,-0.094615,0.307594,-477,-66.7095,100.515,
1160,731.593,0.718994,0.594587,-0.35988,-330.521,477,-178.708,
1161,2.24447e+06,-0.844373,0.129715,-0.519816,-477,-295.94,-141.724,
1164,961598,-0.402237,-0.559604,0.724603,-27.8657,-144.033,477,
1167,2.68925e+06,-0.0806326,-0.956743,0.279539,-223.57,-477,-6.35735,
1174,0.0138039,-0.334872,0.670823,0.661708,247.358,477,256.069,
1176,743097,0.160292,0.312124,0.936421,107.271,367.909,477,
1178,389342,0.550896,0.0535724,-0.832853,-89.0214,-145.574,-477,
1179,6.00633e+06,0.578338,0.80028,-0.15836,341.759,477,-95.8613,
1181,0.499559,0.729734,-0.600028,-0.327802,-129.816,-477,125.797,
1182,0.074509,0.609083,-0.310952,-0.729608,-222.187,-143.303,-477,
1183,843926,0.458522,0.65742,-0.59796,215.055,477,144.238,
1199,1.20847e+06,0.811343,-0.00576718,-0.584541,477,95.537,235.895,
1201,0.0522208,-0.47518,0.23158,-0.848867,-220.545,419.08,-477,
1207,0.0847962,-0.0439073,-0.998972,-0.0112605,-106.41,-477,53.3583,
